Platform,Genre,Year,Price,Reviews,Hours_Played,Multiplayer,DLC,Rating,Successful
0,2,2019,8.18,7955,57.3,0,1,7.6,1
3,4,2022,71.31,3920,32.6,1,1,6.2,0
3,0,2021,58.22,3450,7.3,1,0,5.2,0
2,5,2012,17.98,4850,58.8,1,1,7.7,1
2,3,2023,11.88,8970,115.2,0,0,8.8,1
4,0,2018,18.76,3652,79.0,1,0,7.7,1
0,1,2015,78.5,13714,60.5,0,1,6.1,0
3,3,2018,39.39,7208,15.1,1,0,5.1,0
1,1,2025,63.81,12951,31.8,0,1,5.3,0
0,0,2023,52.73,10255,36.8,0,1,5.2,1
2,3,2023,47.93,5013,92.2,1,0,8.0,1
4,4,2017,15.88,3439,105.5,0,0,8.6,1
3,0,2022,75.95,11164,108.4,1,1,8.6,1
3,1,2016,27.6,4974,118.2,1,1,7.3,1
3,1,2020,48.35,3718,117.9,0,1,8.3,1
3,3,2020,57.48,13957,114.5,0,0,8.0,1
2,4,2013,53.69,7249,10.5,1,0,7.4,0
0,4,2014,75.54,747,18.3,0,1,4.9,0
4,5,2010,16.13,7431,37.9,0,1,6.1,0
2,4,2012,43.13,6922,67.2,0,0,8.1,1
2,1,2016,35.3,12962,13.4,0,1,6.1,1
1,0,2017,40.56,10679,101.8,1,1,8.9,1
0,3,2012,13.94,2886,74.8,0,0,7.2,0
4,5,2016,15.06,2273,66.0,1,0,7.5,0
3,5,2019,25.86,9061,21.5,0,1,6.6,1
3,1,2013,27.85,729,31.9,1,1,6.1,0
2,1,2015,37.09,4798,20.9,0,0,6.4,0
4,0,2015,50.82,2090,102.5,0,0,6.8,0
2,0,2018,52.6,328,70.9,1,1,7.9,1
2,3,2015,35.89,13783,88.7,0,0,7.6,1
2,3,2021,35.66,1365,36.9,0,1,5.9,0
1,2,2015,21.32,158,45.8,1,1,7.0,0
0,1,2016,49.12,13994,49.8,0,1,6.3,1
2,4,2016,28.78,2841,91.7,0,0,6.8,0
4,2,2012,7.7,12252,93.1,0,0,7.3,1
0,4,2020,36.38,488,26.4,1,0,5.5,0
4,5,2013,40.56,2320,113.1,1,1,9.0,1
4,1,2014,21.92,1677,16.2,1,0,5.3,0
1,1,2022,47.93,10599,107.7,1,0,8.9,1
3,5,2025,47.43,9309,13.8,0,0,4.7,0
0,3,2020,57.65,7143,33.2,0,0,5.7,0
3,1,2024,53.6,3639,101.9,0,0,7.3,1
3,3,2023,53.93,1351,23.2,0,1,7.0,0
1,3,2017,28.72,8546,50.8,0,1,7.0,0
0,5,2022,64.06,3476,55.1,1,0,6.9,0
4,1,2015,46.19,8861,30.9,1,0,6.8,0
2,5,2017,37.36,10318,85.8,1,0,6.3,1
4,5,2018,51.95,12744,102.5,1,1,8.5,1
3,1,2025,32.05,7419,105.2,1,0,9.7,1
3,0,2023,43.46,91,42.0,0,1,6.6,0
3,3,2017,60.25,4224,64.6,1,0,7.3,0
0,0,2020,71.48,12803,31.3,1,0,6.8,0
1,1,2013,74.08,8008,30.9,0,1,6.9,0
2,2,2022,42.77,9294,21.0,0,1,4.6,0
2,5,2018,44.02,6878,112.9,1,1,7.6,1
0,5,2018,64.99,2457,106.8,0,1,8.3,1
2,0,2022,28.58,13452,93.7,1,1,7.8,1
0,5,2020,67.8,11598,63.1,1,1,8.4,1
3,0,2011,42.06,14927,59.9,0,0,6.5,1
3,4,2014,13.69,12835,64.5,0,0,5.5,0
4,5,2012,10.4,4381,65.3,0,0,6.0,0
3,5,2021,68.15,3828,53.3,0,0,4.6,0
1,1,2010,9.17,3742,17.5,0,0,5.5,0
4,5,2013,26.05,13783,16.8,1,0,6.0,1
2,0,2019,30.06,8362,114.4,0,0,7.8,1
1,3,2021,17.97,6827,58.9,0,1,7.7,1
4,2,2018,28.54,14524,114.5,0,0,8.9,1
1,1,2023,60.7,9059,21.3,1,1,6.3,1
0,0,2024,6.1,13643,67.4,0,0,5.4,0
2,4,2012,67.04,14770,26.5,0,1,6.6,0
3,2,2025,69.24,1210,31.9,1,1,7.1,0
0,3,2019,32.92,5435,5.5,0,0,5.6,0
2,2,2020,16.52,11017,16.0,0,0,6.3,0
0,2,2011,50.06,12201,110.2,0,1,7.4,1
3,5,2019,13.98,2244,39.9,0,1,7.9,1
2,0,2021,32.37,4789,73.8,0,0,6.4,0
1,4,2019,76.88,8231,56.9,1,1,7.9,1
1,4,2011,79.66,11992,49.3,0,1,5.5,0
2,2,2018,62.91,1712,64.8,0,0,6.2,0
3,1,2024,28.32,9018,24.1,0,0,6.9,0
4,0,2021,56.57,4460,118.7,1,0,8.4,1
2,5,2012,57.91,3261,98.6,1,1,9.0,1
0,5,2025,34.09,7740,89.5,0,1,7.9,1
4,1,2025,53.07,6222,57.3,0,1,6.8,0
3,0,2012,5.8,9542,20.0,0,1,6.9,0
3,0,2022,20.68,4778,110.6,0,0,7.8,0
0,0,2016,44.38,12352,42.3,0,0,5.0,0
1,4,2019,17.28,1190,7.9,0,0,4.8,0
3,5,2017,17.44,12930,42.4,1,0,7.1,1
4,0,2022,67.72,466,95.7,0,1,8.1,1
2,4,2025,79.18,11043,75.5,0,1,6.3,0
4,1,2022,46.7,5210,90.6,0,0,7.0,1
4,2,2024,67.93,5762,95.6,1,1,7.9,1
1,3,2025,79.27,305,27.0,1,1,6.3,0
4,4,2011,15.62,10537,111.0,0,0,7.0,1
1,5,2014,38.62,2499,53.7,0,1,6.4,0
1,0,2021,34.44,9894,77.4,1,1,7.3,1
3,1,2019,11.0,10883,2.3,1,1,6.5,1
3,1,2010,61.65,12681,119.2,0,1,9.0,1
0,1,2011,37.53,10627,35.1,1,0,6.4,0
4,5,2018,40.2,4536,9.3,1,1,5.9,0
0,4,2019,16.3,11083,56.1,0,0,6.7,0
4,1,2012,18.57,12392,17.2,1,1,5.8,1
0,5,2012,73.03,4770,20.0,0,0,4.9,0
3,2,2012,8.35,1880,76.6,0,0,6.5,0
3,3,2019,22.46,13352,48.4,0,1,6.2,1
